timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,0.201,9.605,2.029,0.0208,0.0037,-0.0073
10,-0.124,9.471,2.020,0.0147,0.0024,-0.0061
15,0.244,9.586,2.077,0.0147,0.0000,0.0159
20,0.488,9.528,1.991,0.0171,0.0061,-0.0024
25,-0.033,9.485,1.929,0.0159,0.0086,-0.0073
30,0.225,9.586,2.005,0.0122,0.0037,0.0061
35,0.191,9.567,1.996,0.0134,0.0049,0.0037
40,0.105,9.514,2.024,0.0122,0.0110,0.0000
45,0.196,9.523,2.024,0.0147,0.0073,0.0086
50,0.282,9.523,2.000,0.0134,0.0061,0.0086
55,0.029,9.552,2.082,0.0098,0.0073,0.0073
60,0.254,9.447,2.087,0.0134,0.0061,0.0110
65,0.167,9.509,2.034,0.0171,0.0037,0.0073
70,0.115,9.437,2.053,0.0147,0.0061,0.0061
75,0.091,9.624,2.106,0.0147,0.0049,0.0159
80,0.239,9.456,2.082,0.0171,0.0024,0.0134
85,0.124,9.509,2.053,0.0183,0.0012,0.0110
90,0.115,9.519,2.048,0.0208,0.0061,0.0098
95,0.038,9.586,2.039,0.0171,0.0024,0.0183
100,0.368,9.514,2.020,0.0183,0.0037,0.0220
105,0.167,9.504,1.981,0.0159,0.0024,0.0098
110,-0.005,9.509,1.967,0.0122,0.0012,0.0122
115,0.120,9.614,2.034,0.0110,0.0012,0.0257
120,0.397,9.442,2.020,0.0171,0.0000,0.0183
125,0.077,9.562,2.005,0.0086,0.0024,0.0098
130,0.062,9.581,2.087,0.0122,-0.0037,0.0208
135,0.263,9.332,2.005,0.0147,0.0024,0.0220
140,0.282,9.667,1.981,0.0183,0.0037,0.0159
145,0.134,9.586,1.991,0.0183,-0.0012,0.0232
150,0.297,9.571,2.034,0.0147,-0.0024,0.0257
155,0.225,9.413,1.953,0.0208,0.0037,0.0134
160,0.163,9.629,1.996,0.0171,0.0012,0.0183
165,0.230,9.519,2.015,0.0159,0.0024,0.0195
170,0.249,9.452,1.981,0.0171,0.0037,0.0122
175,0.105,9.672,1.948,0.0171,0.0061,0.0159
180,0.234,9.586,1.981,0.0159,0.0049,0.0220
185,0.297,9.490,2.015,0.0122,0.0037,0.0122
190,0.172,9.567,2.020,0.0134,0.0061,0.0122
195,0.139,9.576,1.981,0.0159,0.0110,0.0195
200,0.211,9.557,1.976,0.0159,0.0024,0.0208
205,0.311,9.495,1.986,0.0122,0.0049,0.0110
210,0.091,9.437,1.976,0.0134,0.0049,0.0049
215,0.077,9.657,2.063,0.0134,-0.0012,0.0208
220,0.273,9.466,2.024,0.0147,0.0024,0.0183
225,0.153,9.500,1.976,0.0147,0.0073,0.0061
230,0.158,9.557,2.000,0.0110,0.0037,0.0122
235,0.249,9.495,2.015,0.0110,0.0012,0.0147
240,0.062,9.528,1.953,0.0159,0.0098,0.0049
245,0.110,9.509,1.991,0.0122,0.0037,0.0159
250,0.335,9.562,1.996,0.0122,0.0049,0.0147
255,0.230,9.495,1.986,0.0159,0.0061,0.0012
260,0.029,9.500,2.034,0.0147,0.0012,0.0073
265,0.249,9.557,2.087,0.0171,-0.0012,0.0147
270,0.268,9.437,2.000,0.0208,0.0024,0.0012
275,0.110,9.614,2.010,0.0159,-0.0012,0.0073
280,0.359,9.504,2.063,0.0147,-0.0061,0.0122
285,0.349,9.552,2.067,0.0147,-0.0012,0.0000
290,0.124,9.624,2.039,0.0159,0.0012,0.0061
295,0.397,9.456,2.024,0.0147,0.0049,0.0049
300,0.392,9.523,1.991,0.0134,0.0061,-0.0037
305,0.234,9.576,2.048,0.0086,0.0061,-0.0098
310,0.153,9.533,2.039,0.0098,0.0110,-0.0024
315,0.244,9.485,2.000,0.0122,0.0171,-0.0073
320,0.148,9.567,2.029,0.0086,0.0183,-0.0061
325,0.278,9.523,2.091,0.0086,0.0171,-0.0061
330,0.206,9.485,2.072,0.0073,0.0171,-0.0122
335,0.105,9.504,2.058,0.0110,0.0171,-0.0147
340,0.096,9.442,2.039,0.0147,0.0171,-0.0061
345,0.244,9.509,2.020,0.0171,0.0110,-0.0086
350,0.053,9.562,2.034,0.0159,0.0061,-0.0122
355,0.033,9.504,2.043,0.0159,0.0049,-0.0086
360,0.048,9.552,1.981,0.0208,0.0024,-0.0049
365,0.201,9.552,1.967,0.0208,-0.0012,-0.0024
370,0.282,9.562,1.967,0.0183,-0.0049,-0.0073
375,0.220,9.571,1.962,0.0134,-0.0061,-0.0122
380,0.110,9.576,2.024,0.0159,-0.0086,-0.0086
385,0.388,9.485,1.929,0.0159,-0.0012,-0.0110
390,0.196,9.533,1.929,0.0122,0.0024,-0.0147
395,0.412,9.567,2.000,0.0061,0.0037,-0.0134
400,0.373,9.523,1.996,0.0061,0.0134,-0.0183
405,0.278,9.442,1.943,0.0098,0.0208,-0.0269
410,0.258,9.538,1.981,0.0049,0.0232,-0.0232
415,0.364,9.504,2.058,0.0037,0.0293,-0.0232
420,0.153,9.480,2.077,0.0049,0.0293,-0.0318
425,0.067,9.480,2.158,0.0061,0.0281,-0.0244
430,0.144,9.447,2.091,0.0122,0.0220,-0.0208
435,-0.110,9.500,2.091,0.0134,0.0208,-0.0183
440,0.144,9.495,2.106,0.0171,0.0122,-0.0098
445,-0.019,9.495,2.034,0.0208,0.0086,-0.0086
450,-0.019,9.533,1.972,0.0208,0.0037,-0.0073
455,0.033,9.547,1.924,0.0208,0.0012,-0.0049
460,0.096,9.528,1.842,0.0208,-0.0061,-0.0012
465,0.105,9.547,1.828,0.0195,-0.0086,-0.0049
470,0.057,9.595,1.828,0.0159,-0.0098,-0.0049
475,0.349,9.557,1.780,0.0183,-0.0122,0.0037
480,0.316,9.571,1.785,0.0147,-0.0061,-0.0098
485,0.263,9.590,1.866,0.0086,-0.0049,-0.0122
490,0.416,9.567,1.991,0.0061,-0.0024,-0.0086
495,0.306,9.533,2.043,0.0049,0.0037,-0.0134
500,0.392,9.528,2.139,0.0061,0.0110,-0.0159
505,0.397,9.485,2.163,0.0061,0.0134,-0.0171
510,0.426,9.456,2.221,0.0012,0.0183,-0.0183
515,0.282,9.456,2.283,0.0037,0.0244,-0.0208
520,0.220,9.514,2.326,0.0086,0.0257,-0.0159
525,0.172,9.452,2.259,0.0110,0.0293,-0.0122
530,0.134,9.461,2.177,0.0171,0.0281,-0.0134
535,0.038,9.500,2.096,0.0195,0.0244,-0.0061
540,-0.014,9.533,2.048,0.0195,0.0208,-0.0037
545,0.048,9.509,1.976,0.0257,0.0159,0.0012
550,-0.081,9.509,1.866,0.0281,0.0134,0.0000
555,-0.153,9.562,1.842,0.0195,0.0037,0.0086
560,-0.014,9.595,1.905,0.0195,-0.0012,0.0134
565,-0.081,9.605,1.862,0.0183,-0.0049,0.0134
570,0.057,9.571,1.833,0.0171,-0.0110,0.0195
575,0.062,9.581,1.895,0.0086,-0.0171,0.0171
580,0.124,9.523,1.948,0.0073,-0.0171,0.0183
585,0.110,9.495,1.991,0.0073,-0.0147,0.0159
590,0.244,9.514,2.020,0.0073,-0.0134,0.0159
595,0.373,9.514,2.063,0.0098,-0.0098,0.0147
600,0.459,9.471,2.082,0.0122,-0.0073,0.0098
605,0.416,9.476,2.139,0.0110,-0.0024,0.0012
610,0.311,9.523,2.182,0.0122,0.0012,0.0061
615,0.565,9.504,2.187,0.0159,0.0073,0.0049
620,0.345,9.538,2.130,0.0208,0.0171,-0.0024
625,0.287,9.519,2.144,0.0171,0.0195,0.0037
630,0.388,9.547,2.168,0.0220,0.0208,0.0061
635,0.206,9.586,2.115,0.0232,0.0195,0.0061
640,0.206,9.562,2.053,0.0208,0.0232,0.0073
645,0.148,9.562,2.010,0.0195,0.0183,0.0098
650,0.086,9.576,1.943,0.0171,0.0147,0.0098
655,-0.038,9.610,1.914,0.0159,0.0122,0.0134
660,-0.010,9.514,1.895,0.0147,0.0110,0.0183
665,0.043,9.552,1.790,0.0122,0.0073,0.0220
670,0.029,9.504,1.775,0.0122,0.0000,0.0183
675,-0.024,9.543,1.809,0.0061,0.0000,0.0159
680,0.014,9.485,1.905,0.0061,-0.0049,0.0195
685,-0.005,9.480,1.890,0.0049,-0.0049,0.0183
690,-0.010,9.504,1.943,0.0110,-0.0086,0.0232
695,0.153,9.452,1.967,0.0086,-0.0073,0.0220
700,0.196,9.466,2.029,0.0110,-0.0110,0.0195
705,0.167,9.490,2.101,0.0098,-0.0110,0.0232
710,0.321,9.519,2.096,0.0183,-0.0122,0.0220
715,0.301,9.490,2.110,0.0208,-0.0073,0.0159
720,0.316,9.495,2.120,0.0220,-0.0061,0.0183
725,0.426,9.500,2.139,0.0244,-0.0012,0.0147
730,0.407,9.557,2.130,0.0244,0.0012,0.0134
735,0.368,9.562,2.120,0.0244,0.0061,0.0098
740,0.359,9.552,2.063,0.0232,0.0061,0.0110
745,0.297,9.547,2.039,0.0220,0.0098,0.0110
750,0.263,9.605,2.053,0.0208,0.0098,0.0134
755,0.359,9.571,1.957,0.0171,0.0134,0.0098
760,0.144,9.567,1.914,0.0134,0.0122,0.0073
765,0.225,9.538,1.905,0.0086,0.0122,0.0086
770,0.129,9.600,1.900,0.0049,0.0110,0.0086
775,0.167,9.547,1.924,-0.0012,0.0134,0.0061
780,0.129,9.528,1.948,0.0024,0.0110,0.0049
785,0.105,9.447,1.938,0.0012,0.0134,0.0024
790,0.057,9.523,1.957,0.0000,0.0122,0.0049
795,0.144,9.437,2.029,0.0037,0.0098,0.0037
800,0.134,9.413,2.034,0.0061,0.0086,-0.0024
805,0.038,9.404,2.096,0.0098,0.0086,-0.0061
810,0.057,9.461,2.130,0.0183,0.0024,0.0037
815,0.206,9.456,2.110,0.0232,0.0000,0.0037
820,0.148,9.428,2.158,0.0281,0.0000,-0.0024
825,0.182,9.485,2.125,0.0293,-0.0037,-0.0037
830,0.139,9.533,2.106,0.0257,-0.0037,0.0000
835,0.220,9.590,2.134,0.0257,-0.0037,0.0024
840,0.321,9.576,2.063,0.0269,-0.0024,0.0000
845,0.239,9.581,2.010,0.0244,0.0000,-0.0037
850,0.278,9.605,1.943,0.0183,0.0000,0.0000
855,0.273,9.619,1.924,0.0122,0.0061,-0.0012
860,0.325,9.547,1.842,0.0086,0.0073,-0.0037
865,0.311,9.581,1.905,0.0012,0.0122,-0.0073
870,0.211,9.586,1.924,-0.0012,0.0134,-0.0086
875,0.282,9.538,1.962,-0.0037,0.0147,-0.0086
880,0.301,9.509,1.986,-0.0012,0.0171,-0.0110
885,0.230,9.471,1.991,0.0024,0.0159,-0.0171
890,0.124,9.500,2.010,0.0012,0.0171,-0.0159
895,0.201,9.433,2.077,0.0049,0.0171,-0.0147
900,0.129,9.442,2.091,0.0098,0.0195,-0.0195
905,0.110,9.456,2.063,0.0134,0.0171,-0.0159
910,0.201,9.466,2.063,0.0171,0.0147,-0.0134
915,0.153,9.504,2.024,0.0232,0.0110,-0.0208
920,0.081,9.447,2.020,0.0220,0.0086,-0.0183
925,0.124,9.509,2.005,0.0232,0.0037,-0.0134
930,0.134,9.581,1.976,0.0293,0.0037,-0.0134
935,0.172,9.547,1.905,0.0269,0.0061,-0.0159
940,0.096,9.543,1.919,0.0232,0.0049,-0.0147
945,0.258,9.590,1.909,0.0159,0.0049,-0.0110
950,0.163,9.571,1.914,0.0122,0.0049,-0.0171
955,0.167,9.624,1.938,0.0073,0.0037,-0.0122
960,0.239,9.557,1.948,0.0037,0.0049,-0.0122
965,0.167,9.533,1.986,0.0000,0.0061,-0.0134
970,0.206,9.562,2.010,-0.0012,0.0061,-0.0110
975,0.244,9.523,2.063,-0.0024,0.0086,-0.0110
980,0.282,9.490,2.077,-0.0037,0.0110,-0.0147
985,0.201,9.442,2.072,-0.0012,0.0122,-0.0171
990,0.153,9.485,2.134,-0.0012,0.0147,-0.0171
995,0.187,9.447,2.125,0.0061,0.0147,-0.0134
1000,0.244,9.466,2.134,0.0122,0.0171,-0.0159
1005,0.129,9.442,2.115,0.0171,0.0171,-0.0159
1010,0.196,9.437,2.110,0.0159,0.0159,-0.0147
1015,0.163,9.504,2.082,0.0232,0.0159,-0.0147
1020,0.086,9.485,2.010,0.0269,0.0147,-0.0134
1025,0.124,9.538,1.991,0.0257,0.0122,-0.0098
1030,0.139,9.528,1.962,0.0269,0.0122,-0.0110
1035,0.053,9.605,1.924,0.0269,0.0061,-0.0073
1040,0.153,9.619,1.900,0.0232,0.0049,-0.0024
1045,0.239,9.610,1.914,0.0183,0.0012,-0.0037
1050,0.153,9.605,1.919,0.0147,0.0000,-0.0049
1055,0.139,9.576,1.919,0.0073,0.0000,-0.0012
1060,0.201,9.567,2.000,0.0024,0.0000,0.0000
1065,0.211,9.538,2.063,0.0012,0.0000,-0.0012
1070,0.134,9.500,2.087,-0.0024,0.0037,0.0000
1075,0.201,9.476,2.106,-0.0024,0.0037,0.0037
1080,0.220,9.461,2.115,0.0024,0.0061,0.0037
1085,0.249,9.480,2.149,0.0012,0.0086,0.0037
1090,0.225,9.490,2.115,0.0086,0.0086,0.0024
1095,0.215,9.490,2.077,0.0122,0.0098,0.0024
