timestamp_ms,label
2625.8,lockout
4769.7,chest
5573.2,1
6612.7,chest
7295.7,2
8151.7,chest
9003.5,3
10104.7,chest
11263.8,4
12935.6,chest
14080.5,5
15477.1,chest
16738.1,6
18273.4,chest
19538.9,7
21648.2,chest
23089.0,8
23469.2,rack
