timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,0.412,9.605,1.105,-0.3934,-0.2321,-0.0623
10,0.474,9.662,1.091,-0.4325,-0.2553,-0.0354
15,0.507,9.705,1.096,-0.4533,-0.2700,-0.0134
20,0.512,9.739,1.072,-0.4545,-0.2810,0.0073
25,0.526,9.796,1.058,-0.4459,-0.2944,0.0305
30,0.546,9.878,1.005,-0.4215,-0.3054,0.0476
35,0.488,9.925,1.010,-0.3848,-0.3091,0.0623
40,0.402,10.016,1.038,-0.3323,-0.3042,0.0672
45,0.254,10.112,1.149,-0.2651,-0.2834,0.0660
50,0.177,10.117,1.182,-0.1869,-0.2468,0.0586
55,0.163,10.021,1.211,-0.1051,-0.1955,0.0354
60,0.201,9.811,1.086,-0.0037,-0.1161,0.0220
65,0.301,9.677,0.981,0.0367,-0.0745,0.0061
70,0.311,9.514,0.986,0.0538,-0.0354,-0.0110
75,0.402,9.380,1.000,0.0550,-0.0049,-0.0269
80,0.469,9.327,1.043,0.0379,0.0257,-0.0440
85,0.541,9.217,1.115,0.0061,0.0464,-0.0562
90,0.584,9.193,1.211,-0.0354,0.0648,-0.0648
95,0.632,9.169,1.335,-0.0831,0.0733,-0.0660
100,0.770,9.217,1.498,-0.1234,0.0757,-0.0660
105,0.909,9.232,1.555,-0.1784,0.0525,-0.0672
110,0.948,9.294,1.632,-0.2065,0.0159,-0.0721
115,0.948,9.361,1.637,-0.2297,-0.0244,-0.0757
120,0.943,9.423,1.661,-0.2456,-0.0709,-0.0757
125,0.842,9.509,1.694,-0.2541,-0.1087,-0.0709
130,0.780,9.567,1.670,-0.2566,-0.1381,-0.0648
135,0.713,9.610,1.651,-0.2578,-0.1503,-0.0611
140,0.622,9.538,1.742,-0.2480,-0.1051,-0.0880
145,0.096,9.538,1.680,-0.2309,-0.0586,-0.1100
150,0.306,9.715,1.551,-0.2101,-0.0489,-0.1136
155,0.435,9.906,1.551,-0.2114,-0.0550,-0.1124
160,0.335,9.973,1.641,-0.2040,-0.0391,-0.1075
165,0.301,10.055,1.828,-0.1930,-0.0305,-0.0855
170,0.292,10.107,1.914,-0.1600,-0.0208,-0.0550
175,0.464,10.165,1.991,-0.1087,-0.0195,-0.0403
180,0.469,10.256,2.043,-0.0586,-0.0305,-0.0318
