timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,-1.512,9.500,1.436,0.0024,0.0061,0.0012
10,-1.503,9.490,1.426,0.0073,0.0037,0.0012
15,-1.493,9.466,1.431,0.0110,0.0037,0.0012
20,-1.445,9.500,1.445,0.0159,0.0049,0.0037
25,-1.474,9.471,1.383,0.0183,0.0037,0.0024
30,-1.488,9.500,1.383,0.0195,0.0061,0.0024
35,-1.507,9.500,1.378,0.0171,0.0049,0.0037
40,-1.450,9.543,1.378,0.0147,0.0061,0.0037
45,-1.450,9.500,1.311,0.0134,0.0061,0.0037
50,-1.469,9.514,1.340,0.0098,0.0061,0.0024
55,-1.503,9.523,1.350,0.0049,0.0061,0.0024
60,-1.474,9.476,1.369,0.0037,0.0073,0.0037
65,-1.479,9.495,1.378,-0.0024,0.0073,0.0049
70,-1.555,9.519,1.397,0.0000,0.0086,0.0037
75,-1.455,9.500,1.397,0.0012,0.0061,0.0037
80,-1.426,9.504,1.431,0.0024,0.0073,0.0049
85,-1.479,9.500,1.417,0.0061,0.0037,0.0061
90,-1.522,9.480,1.407,0.0086,0.0024,0.0073
95,-1.474,9.495,1.407,0.0122,0.0024,0.0073
100,-1.440,9.485,1.378,0.0134,0.0037,0.0073
105,-1.426,9.485,1.393,0.0147,0.0037,0.0086
110,-1.464,9.461,1.364,0.0122,0.0024,0.0073
115,-1.498,9.490,1.378,0.0122,0.0024,0.0086
120,-1.450,9.500,1.373,0.0110,0.0037,0.0086
125,-1.464,9.490,1.388,0.0098,0.0037,0.0073
130,-1.469,9.495,1.393,0.0110,0.0049,0.0073
135,-1.460,9.500,1.393,0.0086,0.0073,0.0061
140,-1.455,9.500,1.421,0.0098,0.0061,0.0049
145,-1.460,9.500,1.412,0.0086,0.0098,0.0061
150,-1.512,9.528,1.412,0.0086,0.0061,0.0037
155,-1.517,9.509,1.393,0.0098,0.0086,0.0049
160,-1.474,9.528,1.393,0.0122,0.0073,0.0049
165,-1.440,9.480,1.378,0.0061,0.0061,0.0037
170,-1.474,9.519,1.359,0.0073,0.0049,0.0049
175,-1.522,9.504,1.354,0.0049,0.0049,0.0037
180,-1.445,9.509,1.359,0.0024,0.0037,0.0037
185,-1.464,9.476,1.388,0.0000,0.0073,0.0037
190,-1.493,9.495,1.393,0.0000,0.0037,0.0037
195,-1.464,9.456,1.412,0.0024,0.0049,0.0037
200,-1.407,9.490,1.421,0.0037,0.0061,0.0024
205,-1.436,9.480,1.417,0.0073,0.0049,0.0012
210,-1.479,9.509,1.397,0.0098,0.0049,0.0000
215,-1.493,9.490,1.431,0.0122,0.0073,0.0024
220,-1.436,9.495,1.383,0.0134,0.0061,0.0000
225,-1.421,9.495,1.369,0.0147,0.0061,-0.0012
230,-1.484,9.500,1.388,0.0122,0.0086,-0.0024
235,-1.503,9.523,1.350,0.0086,0.0073,-0.0012
240,-1.479,9.495,1.373,0.0061,0.0073,-0.0012
245,-1.464,9.500,1.340,0.0037,0.0086,0.0000
250,-1.455,9.504,1.393,0.0037,0.0073,-0.0024
255,-1.402,9.500,1.393,0.0000,0.0086,-0.0024
260,-1.474,9.485,1.407,0.0024,0.0073,-0.0049
265,-1.512,9.495,1.407,0.0049,0.0073,-0.0061
270,-1.479,9.495,1.407,0.0061,0.0086,-0.0037
275,-1.464,9.490,1.407,0.0098,0.0061,-0.0037
280,-1.431,9.509,1.402,0.0110,0.0061,-0.0037
285,-1.464,9.504,1.388,0.0086,0.0073,-0.0049
290,-1.479,9.523,1.369,0.0122,0.0061,-0.0049
295,-1.464,9.485,1.364,0.0110,0.0061,-0.0049
300,-1.464,9.485,1.359,0.0073,0.0073,-0.0049
305,-1.507,9.504,1.354,0.0061,0.0061,-0.0037
310,-1.469,9.504,1.378,0.0061,0.0073,-0.0037
315,-1.426,9.500,1.383,0.0049,0.0061,-0.0049
320,-1.450,9.480,1.388,0.0012,0.0061,-0.0049
325,-1.498,9.485,1.417,0.0037,0.0073,-0.0049
330,-1.517,9.509,1.436,0.0037,0.0086,-0.0037
335,-1.440,9.500,1.397,0.0073,0.0086,-0.0049
340,-1.493,9.504,1.393,0.0098,0.0086,-0.0049
345,-1.474,9.509,1.388,0.0122,0.0073,-0.0061
350,-1.498,9.500,1.383,0.0110,0.0098,-0.0037
355,-1.455,9.519,1.397,0.0098,0.0073,-0.0049
360,-1.493,9.480,1.373,0.0098,0.0073,-0.0049
365,-1.522,9.490,1.330,0.0049,0.0073,-0.0037
370,-1.479,9.495,1.383,0.0024,0.0086,-0.0024
375,-1.455,9.485,1.359,0.0024,0.0061,-0.0024
380,-1.488,9.495,1.378,0.0049,0.0061,-0.0024
385,-1.517,9.485,1.417,0.0024,0.0049,-0.0037
390,-1.503,9.495,1.397,0.0049,0.0073,0.0000
395,-1.484,9.504,1.412,0.0061,0.0049,0.0000
400,-1.479,9.504,1.412,0.0073,0.0061,0.0000
405,-1.488,9.476,1.383,0.0086,0.0049,0.0000
410,-1.498,9.490,1.373,0.0147,0.0037,0.0024
415,-1.507,9.485,1.354,0.0122,0.0061,0.0000
420,-1.479,9.500,1.373,0.0098,0.0049,0.0024
425,-1.488,9.480,1.369,0.0098,0.0061,0.0024
430,-1.460,9.495,1.388,0.0049,0.0061,0.0024
435,-1.436,9.500,1.369,0.0061,0.0061,0.0024
440,-1.507,9.471,1.378,0.0049,0.0061,0.0024
445,-1.498,9.504,1.397,0.0049,0.0073,0.0037
450,-1.464,9.485,1.407,0.0049,0.0073,0.0037
455,-1.488,9.485,1.412,0.0073,0.0073,0.0049
460,-1.479,9.514,1.407,0.0073,0.0061,0.0037
465,-1.479,9.504,1.397,0.0110,0.0049,0.0037
470,-1.479,9.500,1.393,0.0098,0.0061,0.0037
475,-1.488,9.514,1.383,0.0073,0.0049,0.0061
480,-1.469,9.480,1.393,0.0086,0.0024,0.0073
485,-1.479,9.500,1.354,0.0073,0.0061,0.0061
490,-1.484,9.533,1.378,0.0061,0.0037,0.0073
495,-1.479,9.476,1.364,0.0049,0.0049,0.0061
500,-1.464,9.476,1.369,0.0061,0.0037,0.0049
505,-1.455,9.504,1.378,0.0061,0.0037,0.0061
510,-1.512,9.504,1.402,0.0061,0.0061,0.0073
515,-1.426,9.509,1.407,0.0061,0.0061,0.0061
520,-1.440,9.495,1.388,0.0098,0.0049,0.0049
525,-1.527,9.509,1.412,0.0098,0.0049,0.0024
