timestamp_ms,label
3090.1,lockout
4819.4,chest
5423.8,1
6001.3,chest
6509.3,2
7043.1,chest
7648.8,3
8173.2,chest
8876.7,4
9282.7,chest
9866.3,5
10411.1,chest
11009.7,6
11525.4,chest
12195.1,7
12656.2,chest
13279.5,8
14226.4,rack
