timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,0.019,9.538,1.622,0.0171,0.0049,-0.0086
10,0.000,9.557,1.565,0.0391,0.0024,-0.0061
15,-0.043,9.576,1.484,0.0489,0.0049,0.0000
20,0.062,9.557,1.417,0.0599,0.0073,0.0049
25,0.057,9.605,1.335,0.0611,0.0061,0.0098
30,0.105,9.619,1.254,0.0562,0.0073,0.0122
35,0.139,9.619,1.235,0.0330,0.0098,0.0098
40,0.124,9.653,1.259,0.0183,0.0086,0.0073
45,0.072,9.691,1.292,-0.0012,0.0086,0.0061
50,0.077,9.653,1.345,-0.0183,0.0061,0.0086
55,0.100,9.643,1.421,-0.0342,0.0049,0.0098
60,0.105,9.634,1.541,-0.0440,0.0037,0.0110
65,0.053,9.600,1.632,-0.0464,0.0037,0.0122
70,0.067,9.557,1.656,-0.0428,0.0024,0.0134
75,0.086,9.571,1.713,-0.0342,0.0024,0.0147
80,0.057,9.552,1.723,-0.0208,0.0000,0.0171
85,0.029,9.514,1.708,0.0037,0.0012,0.0183
90,0.081,9.528,1.646,0.0159,0.0000,0.0208
95,0.091,9.533,1.608,0.0269,0.0000,0.0220
100,0.110,9.500,1.551,0.0342,-0.0012,0.0244
105,0.067,9.495,1.517,0.0367,-0.0012,0.0244
110,0.105,9.547,1.479,0.0391,0.0000,0.0269
115,0.105,9.576,1.460,0.0379,0.0000,0.0269
120,0.077,9.571,1.479,0.0354,0.0000,0.0281
125,0.134,9.624,1.464,0.0318,0.0037,0.0293
130,0.115,9.667,1.440,0.0257,0.0061,0.0293
135,0.096,9.681,1.412,0.0244,0.0061,0.0281
140,0.134,9.691,1.412,0.0208,0.0098,0.0281
145,0.091,9.672,1.364,0.0159,0.0110,0.0232
150,0.067,9.720,1.321,0.0073,0.0098,0.0244
155,0.086,9.657,1.316,0.0000,0.0110,0.0220
160,0.110,9.614,1.306,-0.0061,0.0086,0.0232
165,0.115,9.619,1.302,-0.0183,0.0037,0.0244
170,0.110,9.571,1.373,-0.0281,0.0012,0.0244
175,0.139,9.500,1.431,-0.0379,-0.0061,0.0220
180,0.124,9.519,1.498,-0.0354,-0.0086,0.0208
185,0.091,9.495,1.598,-0.0293,-0.0122,0.0208
190,0.091,9.523,1.670,-0.0183,-0.0098,0.0208
195,0.153,9.538,1.742,-0.0024,-0.0073,0.0208
200,0.187,9.543,1.742,0.0171,-0.0049,0.0183
205,0.134,9.567,1.728,0.0367,-0.0012,0.0159
210,0.158,9.586,1.685,0.0538,0.0000,0.0159
215,0.148,9.586,1.579,0.0635,0.0073,0.0159
220,0.163,9.624,1.445,0.0660,0.0110,0.0110
225,0.153,9.619,1.397,0.0574,0.0134,0.0073
230,0.158,9.619,1.330,0.0428,0.0159,0.0037
235,0.158,9.677,1.292,0.0232,0.0147,0.0037
240,0.139,9.614,1.287,0.0024,0.0110,0.0000
245,0.129,9.643,1.311,-0.0183,0.0098,-0.0037
250,0.110,9.653,1.417,-0.0342,0.0073,-0.0061
255,0.105,9.624,1.479,-0.0452,0.0037,-0.0086
260,0.081,9.605,1.565,-0.0452,0.0012,-0.0110
265,0.139,9.595,1.651,-0.0391,0.0037,-0.0110
270,0.120,9.567,1.689,-0.0171,0.0024,-0.0122
275,0.129,9.538,1.675,-0.0012,0.0037,-0.0147
280,0.134,9.552,1.646,0.0134,0.0037,-0.0171
285,0.139,9.490,1.584,0.0293,0.0049,-0.0183
290,0.134,9.528,1.498,0.0391,0.0061,-0.0171
295,0.144,9.547,1.455,0.0415,0.0061,-0.0171
300,0.115,9.552,1.397,0.0415,0.0086,-0.0159
305,0.182,9.552,1.354,0.0379,0.0086,-0.0171
310,0.172,9.567,1.354,0.0354,0.0110,-0.0183
315,0.105,9.629,1.345,0.0281,0.0134,-0.0195
320,0.091,9.662,1.359,0.0159,0.0171,-0.0195
325,0.134,9.653,1.393,0.0122,0.0195,-0.0208
330,0.100,9.672,1.407,0.0073,0.0171,-0.0220
335,0.033,9.657,1.407,0.0024,0.0171,-0.0220
340,0.086,9.662,1.407,-0.0012,0.0183,-0.0208
345,0.086,9.672,1.388,-0.0049,0.0147,-0.0208
350,0.053,9.619,1.397,-0.0110,0.0134,-0.0195
355,0.038,9.648,1.378,-0.0183,0.0098,-0.0171
360,0.086,9.552,1.455,-0.0232,0.0061,-0.0183
365,0.115,9.552,1.464,-0.0269,0.0012,-0.0159
370,0.086,9.533,1.574,-0.0293,-0.0037,-0.0122
375,0.067,9.543,1.646,-0.0269,-0.0061,-0.0086
380,0.124,9.523,1.708,-0.0183,-0.0037,-0.0073
385,0.139,9.528,1.737,-0.0061,-0.0061,-0.0049
390,0.139,9.576,1.780,0.0086,-0.0037,-0.0024
395,0.096,9.567,1.775,0.0232,0.0049,-0.0012
400,0.144,9.581,1.728,0.0379,0.0086,0.0012
405,0.196,9.614,1.598,0.0489,0.0122,0.0000
410,0.110,9.619,1.517,0.0550,0.0195,-0.0012
415,0.077,9.672,1.397,0.0501,0.0232,0.0000
420,0.096,9.648,1.321,0.0428,0.0244,0.0012
425,0.043,9.638,1.254,0.0269,0.0257,0.0037
430,0.062,9.672,1.225,0.0098,0.0220,0.0037
435,0.057,9.629,1.230,-0.0061,0.0159,0.0049
440,0.048,9.634,1.268,-0.0244,0.0134,0.0061
445,0.033,9.590,1.326,-0.0354,0.0049,0.0073
450,0.043,9.605,1.412,-0.0415,0.0000,0.0073
455,0.014,9.581,1.517,-0.0428,-0.0024,0.0110
460,0.053,9.586,1.560,-0.0318,-0.0098,0.0134
465,0.067,9.552,1.618,-0.0159,-0.0086,0.0171
470,0.038,9.547,1.608,-0.0024,-0.0098,0.0183
475,0.100,9.552,1.598,0.0159,-0.0061,0.0220
480,0.124,9.557,1.574,0.0293,-0.0049,0.0232
485,0.129,9.552,1.517,0.0379,-0.0037,0.0244
490,0.129,9.543,1.455,0.0415,0.0024,0.0232
495,0.144,9.567,1.417,0.0415,0.0061,0.0257
500,0.187,9.586,1.402,0.0342,0.0049,0.0232
505,0.163,9.581,1.431,0.0208,0.0086,0.0220
510,0.158,9.605,1.417,0.0098,0.0110,0.0220
515,0.148,9.672,1.474,0.0000,0.0110,0.0183
520,0.148,9.629,1.517,-0.0037,0.0110,0.0171
525,0.105,9.638,1.555,-0.0098,0.0098,0.0171
530,0.100,9.662,1.579,-0.0110,0.0098,0.0159
535,0.067,9.638,1.579,-0.0086,0.0086,0.0183
540,0.024,9.619,1.570,-0.0061,0.0073,0.0195
545,0.081,9.590,1.574,-0.0037,0.0037,0.0195
550,0.129,9.552,1.531,0.0000,0.0012,0.0208
555,0.115,9.547,1.484,0.0000,-0.0037,0.0195
560,0.115,9.528,1.474,0.0000,-0.0061,0.0171
565,0.115,9.533,1.484,-0.0024,-0.0061,0.0171
570,0.115,9.504,1.479,0.0024,-0.0086,0.0147
575,0.148,9.523,1.522,0.0061,-0.0049,0.0134
580,0.158,9.538,1.546,0.0110,-0.0049,0.0122
585,0.167,9.567,1.527,0.0159,0.0000,0.0098
590,0.182,9.590,1.560,0.0244,0.0049,0.0086
595,0.158,9.614,1.555,0.0318,0.0098,0.0061
600,0.144,9.634,1.479,0.0403,0.0159,0.0049
605,0.124,9.638,1.464,0.0391,0.0195,0.0012
610,0.158,9.648,1.397,0.0391,0.0195,0.0012
615,0.134,9.634,1.345,0.0330,0.0195,0.0000
620,0.167,9.653,1.316,0.0220,0.0171,-0.0024
625,0.124,9.648,1.297,0.0061,0.0147,-0.0037
630,0.091,9.629,1.321,-0.0049,0.0086,-0.0061
635,0.077,9.629,1.316,-0.0183,0.0061,-0.0086
640,0.091,9.610,1.412,-0.0281,0.0000,-0.0098
645,0.105,9.581,1.498,-0.0367,-0.0049,-0.0134
650,0.120,9.576,1.560,-0.0342,-0.0061,-0.0147
655,0.100,9.567,1.618,-0.0257,-0.0073,-0.0147
660,0.100,9.533,1.651,-0.0159,-0.0049,-0.0159
665,0.144,9.528,1.680,0.0000,-0.0037,-0.0159
670,0.100,9.538,1.680,0.0122,-0.0012,-0.0122
675,0.134,9.509,1.651,0.0244,0.0049,-0.0110
