timestamp_ms,a1x,a1y,a1z,g1x,g1y,g1z
5,1.517,9.657,1.685,0.0733,0.2566,-0.1246
10,1.316,9.854,1.493,0.1356,0.1515,-0.0391
15,1.230,9.930,1.354,0.1662,0.0965,0.0195
20,1.144,9.964,1.273,0.2004,0.0501,0.0782
25,1.086,9.887,1.206,0.2382,0.0147,0.1173
30,1.077,9.758,1.163,0.2761,-0.0244,0.1442
35,1.048,9.643,1.101,0.3140,-0.0733,0.1613
40,1.134,9.543,1.072,0.3445,-0.1234,0.1710
45,1.211,9.461,0.981,0.3653,-0.1625,0.1747
50,1.278,9.308,0.895,0.3690,-0.1955,0.1735
55,1.450,9.102,0.809,0.3470,-0.2260,0.1710
60,1.685,8.987,0.747,0.2724,-0.2724,0.1637
65,1.838,8.930,0.737,0.2040,-0.3323,0.1539
70,1.823,8.935,0.828,0.1393,-0.4081,0.1466
75,1.852,9.040,0.904,0.0904,-0.4936,0.1503
80,1.833,9.131,0.938,0.0538,-0.5779,0.1478
85,1.723,9.198,1.038,0.0281,-0.6524,0.1442
90,1.474,9.203,1.053,0.0159,-0.7025,0.1393
95,1.244,9.318,1.043,0.0049,-0.7220,0.1393
100,0.976,9.308,0.852,-0.0037,-0.7135,0.1454
105,0.847,9.490,0.703,-0.0159,-0.6634,0.1552
110,0.699,9.576,0.589,-0.0195,-0.6084,0.1625
115,0.565,9.696,0.541,-0.0073,-0.5400,0.1649
120,0.507,9.758,0.507,0.0195,-0.4545,0.1625
125,0.464,9.787,0.502,0.0635,-0.3616,0.1454
130,0.502,9.882,0.541,0.1197,-0.2602,0.1173
135,0.565,9.930,0.483,0.1918,-0.1649,0.0757
140,0.660,9.968,0.435,0.2724,-0.0757,0.0220
145,0.689,9.897,0.459,0.3519,-0.0024,-0.0342
150,0.723,9.753,0.493,0.4264,0.0977,-0.1075
155,0.809,9.672,0.598,0.5143,0.1649,-0.1491
160,0.895,9.614,0.703,0.5596,0.2248,-0.1845
165,1.058,9.571,0.742,0.5840,0.2761,-0.2175
170,1.206,9.543,0.723,0.5950,0.3128,-0.2456
175,1.292,9.428,0.665,0.5852,0.3201,-0.2651
180,1.311,9.308,0.608,0.5498,0.2896,-0.2663
185,1.407,9.241,0.713,0.4936,0.2358,-0.2492
190,1.397,9.322,0.818,0.4349,0.1772,-0.2211
195,1.536,9.361,0.924,0.3775,0.1161,-0.1857
200,1.627,9.332,0.991,0.2969,0.0244,-0.1295
205,1.646,9.275,1.015,0.2419,-0.0452,-0.0916
210,1.560,9.203,1.058,0.1845,-0.1173,-0.0501
215,1.474,9.232,1.153,0.1258,-0.1894,-0.0073
220,1.407,9.313,1.249,0.0745,-0.2505,0.0342
225,1.431,9.404,1.297,0.0305,-0.2957,0.0709
230,1.527,9.456,1.263,-0.0049,-0.3372,0.1014
235,1.589,9.547,1.287,-0.0367,-0.3836,0.1307
240,1.503,9.624,1.283,-0.0660,-0.4362,0.1588
245,1.426,9.753,1.259,-0.0929,-0.5143,0.2040
250,1.436,9.815,1.278,-0.0965,-0.5596,0.2321
255,1.393,9.882,1.216,-0.0806,-0.5999,0.2517
260,1.402,9.940,1.062,-0.0599,-0.6329,0.2663
265,1.263,9.887,1.034,-0.0330,-0.6585,0.2798
270,1.134,9.768,0.914,-0.0073,-0.6707,0.2932
275,1.062,9.648,0.809,0.0134,-0.6683,0.3067
280,1.029,9.543,0.641,0.0257,-0.6561,0.3225
285,0.981,9.490,0.546,0.0342,-0.6402,0.3409
290,1.010,9.404,0.498,0.0379,-0.6292,0.3604
295,1.082,9.404,0.550,0.0525,-0.5986,0.3848
300,1.082,9.433,0.598,0.0709,-0.5608,0.3958
305,1.187,9.504,0.641,0.0965,-0.5095,0.3934
310,1.230,9.629,0.651,0.1258,-0.4508,0.3800
315,1.259,9.681,0.622,0.1564,-0.3910,0.3531
320,1.287,9.686,0.555,0.1820,-0.3396,0.3164
325,1.287,9.624,0.541,0.2016,-0.2981,0.2712
330,1.350,9.504,0.498,0.2077,-0.2639,0.2260
335,1.369,9.394,0.426,0.2016,-0.2419,0.1833
340,1.450,9.241,0.402,0.1710,-0.2077,0.1295
345,1.460,9.212,0.388,0.1454,-0.1820,0.0977
350,1.503,9.232,0.416,0.1234,-0.1466,0.0721
355,1.574,9.284,0.464,0.1051,-0.1063,0.0501
360,1.579,9.270,0.488,0.0965,-0.0672,0.0269
365,1.579,9.275,0.517,0.0892,-0.0367,0.0024
370,1.560,9.342,0.522,0.0867,-0.0134,-0.0195
375,1.546,9.375,0.526,0.0867,0.0073,-0.0379
380,1.503,9.543,0.469,0.0941,0.0269,-0.0525
385,1.445,9.744,0.368,0.1026,0.0452,-0.0635
390,1.431,9.887,0.301,0.1381,0.0806,-0.0672
395,1.417,9.901,0.321,0.1710,0.0941,-0.0648
400,1.431,9.801,0.368,0.2089,0.0990,-0.0672
405,1.460,9.696,0.445,0.2370,0.0965,-0.0696
410,1.498,9.624,0.560,0.2602,0.0990,-0.0745
415,1.574,9.543,0.589,0.2676,0.1051,-0.0843
420,1.574,9.490,0.646,0.2651,0.1124,-0.0929
425,1.536,9.433,0.651,0.2517,0.1246,-0.0990
430,1.488,9.466,0.742,0.2309,0.1393,-0.0953
435,1.507,9.538,0.694,0.2004,0.1564,-0.0819
440,1.493,9.600,0.627,0.1833,0.1552,-0.0709
445,1.536,9.696,0.617,0.1723,0.1356,-0.0574
450,1.555,9.787,0.641,0.1674,0.1051,-0.0415
455,1.589,9.729,0.718,0.1662,0.0709,-0.0257
460,1.685,9.629,0.804,0.1637,0.0391,-0.0122
465,1.737,9.586,0.852,0.1527,0.0110,-0.0012
470,1.756,9.480,0.881,0.1344,-0.0159,0.0098
475,1.790,9.418,0.871,0.1014,-0.0391,0.0208
480,1.838,9.299,0.837,0.0257,-0.0721,0.0452
485,1.799,9.303,0.814,-0.0342,-0.0977,0.0684
490,1.785,9.385,0.718,-0.0977,-0.1197,0.0904
495,1.775,9.576,0.656,-0.1515,-0.1442,0.1185
500,1.646,9.701,0.579,-0.1845,-0.1637,0.1442
505,1.622,9.777,0.555,-0.1991,-0.1833,0.1625
510,1.541,9.772,0.507,-0.1979,-0.1991,0.1772
515,1.484,9.763,0.488,-0.1845,-0.2126,0.1833
520,1.479,9.705,0.464,-0.1637,-0.2138,0.1808
525,1.493,9.634,0.440,-0.1393,-0.2028,0.1735
530,1.484,9.576,0.416,-0.1112,-0.1674,0.1552
535,1.484,9.533,0.368,-0.0953,-0.1368,0.1381
540,1.541,9.547,0.335,-0.0794,-0.1124,0.1197
545,1.565,9.581,0.273,-0.0635,-0.0916,0.1002
550,1.555,9.643,0.273,-0.0379,-0.0745,0.0745
555,1.618,9.662,0.273,-0.0049,-0.0574,0.0452
560,1.527,9.677,0.239,0.0342,-0.0464,0.0147
565,1.503,9.634,0.268,0.0757,-0.0281,-0.0171
570,1.469,9.638,0.244,0.1100,-0.0086,-0.0428
575,1.445,9.571,0.244,0.1491,0.0244,-0.0757
580,1.426,9.557,0.225,0.1613,0.0513,-0.0880
585,1.412,9.571,0.215,0.1564,0.0757,-0.0892
590,1.436,9.509,0.182,0.1393,0.0904,-0.0806
595,1.507,9.471,0.191,0.1026,0.0941,-0.0611
600,1.589,9.466,0.225,0.0538,0.0819,-0.0342
605,1.646,9.433,0.373,0.0024,0.0623,-0.0061
610,1.785,9.466,0.493,-0.0440,0.0342,0.0208
615,1.842,9.504,0.613,-0.0843,0.0037,0.0464
620,1.929,9.523,0.737,-0.1161,-0.0318,0.0757
625,1.866,9.543,0.785,-0.1588,-0.0929,0.0916
630,1.790,9.576,0.747,-0.1833,-0.1307,0.1087
635,1.771,9.619,0.727,-0.2089,-0.1600,0.1283
640,1.661,9.701,0.689,-0.2321,-0.1772,0.1478
645,1.618,9.787,0.675,-0.2480,-0.1869,0.1674
650,1.541,9.844,0.636,-0.2541,-0.1894,0.1820
